Factor,Items,Estimator,CFI,TLI,RMSEA,SRMR,Item_Count
F1,"v2,v3,v9,v13,v55",WLSMV,0.988428717,0.976857434,0.049077185,0.042811422,5
F1,"v1,v5,v11,v55",MLR,0.970047341,0.910142024,0.058378948,0.029000188,4
F1,"v2,v3,v10,v11,v55",WLSMV,0.982521855,0.965043709,0.063374316,0.046430672,5
F1,"v1,v2,v3,v10,v55",MLR,0.969565979,0.939131957,0.077994276,0.035165993,5
F1,"v2,v3,v4,v9,v13",MLR,0.969442911,0.938885822,0.075217762,0.045159146,5
F1,"v2,v4,v5,v9,v13",WLSMV,0.991437461,0.982874922,0.068845229,0.050669087,5
F1,"v2,v4,v5,v9,v55",WLSMV,0.991920183,0.983840365,0.069063421,0.046962405,5
F1,"v2,v3,v4,v5,v11,v55",MLR,0.969415716,0.949026194,0.071391665,0.03260368,6
F1,"v2,v4,v5,v10,v55",WLSMV,0.995303836,0.990607672,0.056799097,0.039309885,5
F1,"v2,v4,v5,v11,v55",MLR,0.985939349,0.971878699,0.047725248,0.030332639,5
F1,"v2,v4,v5,v11,v55",WLSMV,0.99669333,0.99338666,0.042663141,0.035569192,5
F1,"v2,v4,v5,v13,v55",MLR,0.985828751,0.971657502,0.049176955,0.030702032,5
F1,"v2,v4,v5,v13,v55",WLSMV,0.996396581,0.992793162,0.045529005,0.036416511,5
F1,"v2,v3,v4,v5,v13,v55",MLR,0.969148182,0.948580304,0.073018063,0.032691418,6
F1,"v2,v4,v9,v13,v55",WLSMV,0.98872074,0.977441481,0.042530644,0.040320301,5
F1,"v2,v3,v4,v9,v55",MLR,0.968729113,0.937458225,0.077843216,0.043353919,5
F1,"v1,v2,v3,v11,v55",MLR,0.968448857,0.936897713,0.073944289,0.035389678,5
F1,"v1,v5,v10,v11,v55",WLSMV,0.968419094,0.936838188,0.070998153,0.050987134,5
F1,"v2,v4,v10,v13,v55",WLSMV,0.982870098,0.965740196,0.064396123,0.046702748,5
F1,"v2,v5,v9,v13,v55",MLR,0.991299606,0.982599212,0.026529658,0.027093513,5
F1,"v2,v5,v9,v13,v55",WLSMV,0.99543477,0.99086954,0.026876869,0.034664115,5
F1,"v1,v2,v3,v9,v55",MLR,0.9680897,0.9361794,0.076181669,0.035271745,5
F1,"v1,v4,v5,v10,v11,v55",MLR,0.967650529,0.946084215,0.059598611,0.041211371,6
F1,"v1,v4,v5,v9,v13",MLR,0.967386534,0.934773068,0.072976026,0.039124629,5
F1,"v3,v4,v5,v9,v13",WLSMV,0.995681728,0.991363456,0.074721315,0.05356233,5
F1,"v3,v4,v5,v10,v11,v55",MLR,0.967193756,0.945322927,0.071293114,0.042733627,6
F1,"v3,v4,v5,v9,v55",WLSMV,0.998071848,0.996143695,0.05040623,0.039842836,5
F1,"v3,v4,v5,v10,v55",MLR,0.985875911,0.971751821,0.062199109,0.028435882,5
F1,"v3,v4,v5,v10,v55",WLSMV,0.998749005,0.99749801,0.042127213,0.03216696,5
F1,"v3,v4,v5,v13,v55",MLR,0.996887746,0.993775492,0.027966128,0.020483394,5
F1,"v3,v10,v13,v55",MLR,0.967026707,0.901080122,0.068396204,0.029453299,4
F1,"v3,v4,v9,v13,v55",WLSMV,0.99441115,0.988822299,0.065551847,0.049788291,5
F1,"v3,v4,v5,v9,v13,v55",MLR,0.966657959,0.944429932,0.070191164,0.042330638,6
F1,"v3,v4,v10,v11,v55",WLSMV,0.992639549,0.985279099,0.077017161,0.051728791,5
F1,"v1,v3,v4,v5,v9,v13,v55",MLR,0.966123375,0.949185062,0.062570108,0.03828163,7
F1,"v3,v5,v9,v13,v55",WLSMV,0.992568394,0.985136787,0.045956449,0.04059722,5
F1,"v3,v5,v10,v11,v55",WLSMV,0.981864023,0.963728047,0.076073243,0.051986508,5
F1,"v3,v5,v10,v13,v55",WLSMV,0.984106489,0.968212977,0.07610341,0.051400547,5
F1,"v2,v4,v9,v13,v55",MLR,0.965819975,0.93163995,0.048936424,0.032628756,5
F1,"v4,v5,v9,v13,v55",WLSMV,0.990374928,0.980749857,0.066185591,0.050361935,5
F1,"v5,v9,v10,v13,v55",MLR,0.965699842,0.931399684,0.065322731,0.039432674,5
F1,"v4,v5,v10,v11,v55",WLSMV,0.988692416,0.977384832,0.075948953,0.05160271,5
F1,"v1,v2,v5,v9,v55",MLR,0.96559525,0.931190501,0.075294657,0.040004911,5
F1,"v5,v9,v10,v13,v55",WLSMV,0.9882258,0.9764516,0.058372326,0.044384189,5
F1,"v1,v2,v3,v5,v9,v55",WLSMV,0.988725039,0.981208398,0.079768362,0.052672751,6
F1,"v1,v2,v3,v5,v11,v55",WLSMV,0.989213129,0.982021882,0.076197569,0.051753066,6
F1,"v1,v2,v3,v5,v13,v55",WLSMV,0.989138678,0.981897796,0.0776303,0.052101614,6
F1,"v1,v2,v3,v9,v13,v55",WLSMV,0.988972015,0.981620026,0.066466093,0.056499899,6
F1,"v1,v2,v3,v10,v11,v55",WLSMV,0.990366082,0.98394347,0.063508284,0.052206577,6
F1,"v1,v2,v4,v9,v13,v55",WLSMV,0.987206881,0.978678135,0.068118109,0.056306241,6
F1,"v1,v2,v4,v10,v11,v55",WLSMV,0.98406638,0.973443966,0.079024407,0.057738643,6
F1,"v1,v2,v5,v9,v13,v55",MLR,0.942245598,0.903742664,0.074934344,0.048847618,6
F1,"v1,v2,v5,v9,v13,v55",WLSMV,0.988431539,0.980719231,0.063115972,0.054246586,6
F1,"v3,v4,v10,v11,v55",MLR,0.965043905,0.93008781,0.075237482,0.044924514,5
F1,"v1,v3,v4,v5,v9,v13",WLSMV,0.995360907,0.992268179,0.06280095,0.049960813,6
F1,"v2,v3,v5,v10,v11,v55",MLR,0.964739814,0.941233023,0.060381567,0.039726451,6
F1,"v1,v3,v4,v5,v9,v55",WLSMV,0.997479328,0.99579888,0.046757167,0.039501616,6
F1,"v1,v3,v4,v5,v10,v11",WLSMV,0.993837028,0.98972838,0.07409152,0.054088485,6
F1,"v2,v4,v5,v9,v13",MLR,0.964557646,0.929115291,0.076677565,0.042195675,5
F1,"v1,v3,v4,v5,v10,v55",WLSMV,0.998020076,0.996700126,0.04293552,0.035246016,6
F1,"v1,v3,v4,v5,v11,v55",MLR,0.983571878,0.972619797,0.052296181,0.027722207,6
F1,"v1,v3,v4,v5,v11,v55",WLSMV,0.998666736,0.997777894,0.033618016,0.035557625,6
F1,"v1,v3,v4,v5,v13,v55",MLR,0.987917252,0.979862086,0.04556036,0.022540224,6
F1,"v1,v3,v4,v5,v13,v55",WLSMV,0.999348832,0.99891472,0.023775592,0.029248211,6
F1,"v2,v3,v9,v13,v55",MLR,0.963969532,0.927939064,0.056822564,0.034202579,5
F1,"v1,v3,v4,v9,v11,v55",WLSMV,0.987791481,0.979652468,0.079832637,0.062261057,6
F1,"v1,v3,v4,v9,v13,v55",MLR,0.989257599,0.982095998,0.035227804,0.036427646,6
F1,"v1,v3,v4,v9,v13,v55",WLSMV,0.997338591,0.995564318,0.03780042,0.042748656,6
F1,"v1,v4,v5,v10,v13,v55",MLR,0.963756924,0.939594874,0.065090768,0.042474169,6
F1,"v1,v3,v4,v10,v11,v55",WLSMV,0.994427066,0.990711776,0.056038464,0.048319964,6
F1,"v1,v3,v9,v13,v55",MLR,0.963579088,0.927158176,0.056533612,0.038938862,5
F1,"v1,v3,v4,v10,v13,v55",WLSMV,0.991474897,0.985791495,0.07106196,0.054405233,6
F1,"v1,v3,v4,v5,v9,v13",MLR,0.962446619,0.937411032,0.07979019,0.040315696,6
F1,"v1,v3,v5,v9,v13,v55",WLSMV,0.994697203,0.991162006,0.036443903,0.041430106,6
F1,"v1,v3,v5,v10,v11,v55",MLR,0.949037879,0.915063132,0.07170704,0.043417654,6
F1,"v1,v3,v5,v10,v11,v55",WLSMV,0.98615679,0.976927984,0.061800472,0.05117007,6
F1,"v2,v3,v10,v11,v55",MLR,0.961166373,0.922332746,0.061602094,0.039778495,5
F1,"v1,v3,v5,v10,v13,v55",WLSMV,0.986391897,0.977319829,0.064183653,0.051653775,6
F1,"v4,v5,v10,v11,v55",MLR,0.960738469,0.921476937,0.077428081,0.04477003,5
F1,"v1,v4,v5,v9,v13,v55",WLSMV,0.995030632,0.99171772,0.040744808,0.043812101,6
F1,"v1,v3,v4,v5,v10,v11,v55",MLR,0.960419928,0.940629892,0.069222274,0.041733116,7
F1,"v1,v4,v5,v10,v11,v55",WLSMV,0.992217628,0.98702938,0.053709588,0.047773615,6
F1,"v1,v2,v4,v11,v55",MLR,0.960253837,0.920507673,0.077569033,0.037723644,5
F1,"v1,v4,v5,v10,v13,v55",WLSMV,0.990147391,0.983578985,0.062490071,0.050093845,6
F1,"v2,v3,v4,v5,v9,v13",WLSMV,0.992804258,0.988007097,0.078509427,0.056090351,6
F1,"v2,v3,v4,v5,v9,v55",WLSMV,0.993206157,0.988676929,0.077442759,0.05233096,6
F1,"v2,v3,v4,v5,v10,v55",WLSMV,0.994368158,0.990613597,0.073085091,0.047402721,6
F1,"v1,v2,v4,v9,v55",MLR,0.960241416,0.920482831,0.079661387,0.037484332,5
F1,"v2,v3,v4,v5,v11,v55",WLSMV,0.996381849,0.993969748,0.055677157,0.040195283,6
F1,"v1,v3,v4,v10,v13,v55",MLR,0.959437909,0.932396516,0.07300463,0.046412183,6
F1,"v2,v3,v4,v5,v13,v55",WLSMV,0.996286836,0.993811393,0.057081865,0.040781255,6
F1,"v2,v3,v4,v9,v13,v55",MLR,0.958901426,0.931502377,0.068848172,0.046788344,6
F1,"v2,v3,v4,v9,v13,v55",WLSMV,0.991277311,0.985462186,0.06909139,0.054599351,6
