"X","M","Y","Indirect","Indirect_p","Direct","Direct_p","Total","Total_p","CFI","TLI","RMSEA","SRMR","MediationType"
"F2","F6","F5",-0.601,0.0163,-0.6685,0.0117,-1.2695,0.0045,0.9808,0.9758,0.0428,0.0607,"Partial Mediation"
"F3","F1","F2",-0.0047,0.3493,-0.1084,0.0879,-0.1131,0.0911,0.9806,0.9749,0.0397,0.0564,"No Mediation"
"F3","F1","F4",0.1194,0,0.3894,0,0.5089,0,0.9868,0.9829,0.0329,0.0511,"Partial Mediation"
"F3","F1","F5",0.3169,0,0.2578,3e-04,0.5747,0,1,1.0044,0,0.0419,"Partial Mediation"
"F3","F1","F6",0.3491,0,0.2317,0.0225,0.5808,0,1,1.0042,0,0.0401,"Partial Mediation"
"F3","F2","F1",0.0995,0.2102,0.2355,0.0254,0.335,0,0.9806,0.9749,0.0397,0.0564,"No Mediation"
"F3","F2","F4",-0.1322,0.1523,0.6596,0,0.5274,0,0.9787,0.9725,0.0461,0.0621,"No Mediation"
"F3","F2","F5",-0.0719,0.4682,0.616,0,0.5441,0,0.9859,0.9823,0.0364,0.0572,"No Mediation"
"F3","F2","F6",-0.2087,0.0974,0.7547,0,0.5461,0,1,1.0027,0,0.0418,"No Mediation"
"F3","F4","F1",0.1878,0,0.1526,0.0415,0.3405,0,0.9868,0.9829,0.0329,0.0511,"Partial Mediation"
"F3","F4","F2",0.0113,0.2021,-0.1477,0.0479,-0.1364,0.0483,0.9787,0.9725,0.0461,0.0621,"No Mediation"
"F3","F4","F5",0.2666,0,0.3067,7e-04,0.5733,0,1,1.0125,0,0.036,"Partial Mediation"
"F3","F4","F6",0.2966,0,0.2564,0.0247,0.553,0,1,1.0164,0,0.0323,"Partial Mediation"
"F3","F5","F1",0.3758,0,-0.0435,0.4195,0.3323,0,1,1.0044,0,0.0419,"Full Mediation"
